,Date,Open,High,Low,Close*,Adj Close**,Volume
42,"Aug 01, 2019",1214.03,1234.11,1205.72,1209.01,1209.01,1698500.0
41,"Aug 02, 2019",1200.74,1206.9,1188.94,1193.99,1193.99,1645100.0
40,"Aug 05, 2019",1170.04,1175.24,1140.14,1152.32,1152.32,2597500.0
39,"Aug 06, 2019",1163.31,1179.96,1160.0,1169.95,1169.95,1709400.0
38,"Aug 07, 2019",1156.0,1178.44,1149.62,1173.99,1173.99,1444300.0
37,"Aug 08, 2019",1182.83,1205.01,1173.02,1204.8,1204.8,1468000.0
36,"Aug 09, 2019",1197.99,1203.88,1183.6,1188.01,1188.01,1065700.0
35,"Aug 12, 2019",1179.21,1184.96,1167.67,1174.71,1174.71,1003000.0
34,"Aug 13, 2019",1171.46,1204.78,1171.46,1197.27,1197.27,1294400.0
33,"Aug 14, 2019",1176.31,1182.3,1160.54,1164.29,1164.29,1578700.0
32,"Aug 15, 2019",1163.5,1175.84,1162.11,1167.26,1167.26,1218700.0
31,"Aug 16, 2019",1179.55,1182.72,1171.81,1177.6,1177.6,1313300.0
30,"Aug 19, 2019",1190.09,1206.99,1190.09,1198.45,1198.45,1231600.0
29,"Aug 20, 2019",1195.25,1196.06,1182.11,1182.69,1182.69,915500.0
28,"Aug 21, 2019",1193.15,1199.0,1187.43,1191.25,1191.25,740700.0
27,"Aug 22, 2019",1194.07,1198.01,1178.58,1189.53,1189.53,947500.0
26,"Aug 23, 2019",1181.99,1194.08,1147.75,1151.29,1151.29,1687000.0
25,"Aug 26, 2019",1157.26,1169.47,1152.96,1168.89,1168.89,1226100.0
24,"Aug 27, 2019",1180.53,1182.4,1161.45,1167.84,1167.84,1077200.0
23,"Aug 28, 2019",1161.71,1176.42,1157.3,1171.02,1171.02,802000.0
22,"Aug 29, 2019",1181.12,1196.06,1181.12,1192.85,1192.85,1088400.0
21,"Aug 30, 2019",1198.5,1198.5,1183.8,1188.1,1188.1,1129800.0
20,"Sep 03, 2019",1177.03,1186.89,1163.2,1168.39,1168.39,1479900.0
19,"Sep 04, 2019",1176.71,1183.48,1171.0,1181.41,1181.41,1068900.0
18,"Sep 05, 2019",1191.53,1213.04,1191.53,1211.38,1211.38,1408100.0
17,"Sep 06, 2019",1208.13,1212.02,1202.52,1204.93,1204.93,1072100.0
16,"Sep 09, 2019",1204.0,1220.0,1192.62,1204.41,1204.41,1471900.0
15,"Sep 10, 2019",1195.15,1210.0,1194.58,1206.0,1206.0,1260100.0
14,"Sep 11, 2019",1203.41,1222.6,1202.2,1220.17,1220.17,1307000.0
13,"Sep 12, 2019",1224.3,1241.86,1223.02,1234.25,1234.25,1725900.0
12,"Sep 13, 2019",1231.35,1240.88,1227.01,1239.56,1239.56,1301400.0
11,"Sep 16, 2019",1229.52,1239.56,1225.61,1231.3,1231.3,1053300.0
10,"Sep 17, 2019",1230.4,1235.0,1223.69,1229.15,1229.15,955100.0
9,"Sep 18, 2019",1227.51,1235.61,1216.53,1232.41,1232.41,1135100.0
8,"Sep 19, 2019",1232.06,1244.44,1232.02,1238.71,1238.71,996000.0
7,"Sep 20, 2019",1233.12,1243.32,1223.08,1229.93,1229.93,2270000.0
6,"Sep 23, 2019",1226.0,1239.09,1224.17,1234.03,1234.03,1062400.0
5,"Sep 24, 2019",1240.0,1246.74,1210.68,1218.76,1218.76,1583200.0
4,"Sep 25, 2019",1215.82,1248.3,1210.09,1246.52,1246.52,1453000.0
3,"Sep 26, 2019",1241.96,1245.0,1232.27,1241.39,1241.39,1538000.0
2,"Sep 27, 2019",1243.01,1244.02,1214.45,1225.09,1225.09,1353900.0
1,"Sep 30, 2019",1220.97,1226.0,1212.3,1219.0,1219.0,1404100.0
0,"Oct 01, 2019",1219.0,1231.23,1203.58,1205.1,1205.1,1273500.0
